name,latitude,longitude
Alcántara,-33.415325,-70.58945
Baquedano,-33.437,-70.633
Barrancas,-33.452669,-70.73901
Bellas Artes,-33.4365,-70.644
Bellavista de la Florida,-33.5198,-70.599
Blanquea do,-33.441505,-70.70732
Camino Agrícola,-33.4916,-70.617
Carlos Valdovinos,-33.4856,-70.619
Cementerios,-33.414074,-70.64356
Cerro Blanco,-33.4189,-70.646
Ciudad del Niño,-33.5101,-70.656
Cristóbal Colón,-33.4169,-70.5614
Cumming,-33.4389898,-70.668738
Del Sol,-33.489991,-70.75284
Departamental,-33.5026,-70.654
Dorsal,-33.396,-70.650
Ecuador,-33.456,-70.699
Einsten,-33.405731,-70.64313
El Golf,-33.4166,-70.595
El Llano,-33.482703,-70.64944
El Parrón,-33.5264675,-70.660938
Elisa Correa,-33.569405,-70.583611
Escuela Militar,-33.4138,-70.5833
Estación Central,-33.451,-70.679
Francisco Bilbao,-33.431484,-70.584641
Franklin,-33.4729,-70.642
Grecia,-33.4743,-70.55
Gruta de Lourdes,-33.438262,-70.690838
Hernando de Magallanes,-33.419,-70.5613
Hospital Sótero del Río,-33.5765,-70.5824
Irarrázaval,-33.4539,-70.601
La Cisterna,-33.5374,-70.664
La Granja,-33.5411,-70.61
Laguna Sur,-33.4608,-70.74
Las Parcelas,-33.4754,-70.7
Las Rejas,-33.456,-70.70
Las Torres,-33.500034,-70.587074
Lo Ovalle,-33.5167,-70.649
Lo Prado,-33.443298,-70.71641
Lo Vial,-33.497272,-70.65310
Los Domínicos,-33.4131,-70.5479
Los Héroes,-33.4461,-70.660
Los Leones,-33.4220671,-70.608405
Los Orientales,-33.4639,-70.5702
Los Presidentes,-33.4898,-70.5465
Los Quillayes,-33.560627,-70.585289
Macul,-33.5088,-70.5895
Manquehue,-33.4093,-70.5687
Manuel Montt,-33.4283,-70.619
Mirador,-33.512936,-70.60658
Moneda,-33.446,-70.655
Monte Tabor,-33.4808,-70.747
Neptuno,-33.451546,-70.72268
Pajaritos,-33.458,-70.715
Parque Bustamante,-33.4314,-70.624
Parque O`higgins,-33.4605,-70.656
Patronato,-33.4296,-70.647
Pedrero,-33.5078,-70.612
Pedro de Valdivia,-33.4255,-70.614
Plaza Egaña,-33.4533,-70.5707
Plaza de Armas,-33.4373,-70.650
Plaza de Maipú,-33.5105,-70.7 572
Plaza de Puente Alto,-33.6095,-70.5759
Protectora de la Infancia,-33.5892,-70.5797
Príncipe de Gales,-33.4391496,-70.5733956
Pudahuel,-33.4448,-70.740
Puente Cal y Canto,-33.4327,-70.652
Quilín,-33.4995,-70.5562
Quinta Normal,-33.440282,-70.68035
República,-33.448,-70.667
Rodrigo de Araya,-33.4775,-70.622
Rojas Magallanes,-33.5337,-70.5701
Rondizzoni,-33.47,-70.656
Salvador,-33.4331,-70.626
San Alberto Hurtado,-33.454113,-70.69243
San Joaquín,-33.4983,-70.61
San José de la Estrella,-33.5534,-70.5866
San Miguel,-33.4888,-70.651
San Pablo,-33.4442,-70.723
San Ramón,-33.5412,-70.643
Santa Ana,-33.438254,-70.65982
Santa Isabel,-33.4471,-70.630
Santa Julia,-33.531105,-70.60549
Santa Rosa,-33.5425,-70.634
Santiago Bueras,-33.4966,-70.757
Simón Bolívar,-33.4463767,-70.5720765
Tobalaba,-33.4181,-70.601
Toesca,-33.4529,-70.658
Trinidad,-33.547,-70.5877
Universidad Católica,-33.4402,-70.640
Universidad de Chile,-33.4438,-70.650
Universidad de Santiago,-33.4529,-70.686
Unión Latinoamericana,-33.449467,-70.67320
Vespucio Norte,-33.3804,-70.646
Vicente Valdés,-33.5263,-70.5882
Vicuña Mackena,-33.5196,-70.5961
Zapadores,-33.3909,-70.642
Ñuble,-33.4672,-70.625